date,station_name,latitude,longitude,PM2.5,temperature,humidity,wind_speed,pressure,dayofweek,month,day
2024-12-14,Gymnasium 39,43.348459,76.84291,-0.3062571220562612,-0.7562503394440615,0.045114432235449024,1.1968665401310117,0.3309978316471306,0.990637375812967,1.8054153306151108,-0.18973137045415023
2024-12-15,Gymnasium 39,43.348459,76.84291,-0.9572085188487253,-0.4148155738955717,0.6759398164640912,1.8827338125815887,1.0459473962819559,1.4909709085264704,1.8054153306151108,-0.08171405328072102
2024-12-16,Gymnasium 39,43.348459,76.84291,-0.8275685976462807,-1.4142042505453596,1.3255153548229843,1.6262594563683623,2.0124270289861625,-1.5110302877545507,1.8054153306151108,0.026303263892708196
2024-12-17,Gymnasium 39,43.348459,76.84291,-0.8786296043463001,-1.9780328694169433,0.983717783418184,0.6601887338550871,0.7683940424419863,-1.010696755041047,1.8054153306151108,0.1343205810661374
2024-12-18,Gymnasium 39,43.348459,76.84291,0.2181118988451366,-1.376677199480023,0.18087488550194622,0.7073941432499578,0.6486010344427691,-0.5103632223275436,1.8054153306151108,0.2423378982395666
2024-12-19,Gymnasium 39,43.348459,76.84291,0.05881378812232126,-1.0773835030412866,0.42082561991217926,1.1983811877290198,0.22179970023052073,-0.010029689614040101,1.8054153306151108,0.35035521541299586
2024-12-20,Gymnasium 39,43.348459,76.84291,-0.9422265468229711,-0.48279490468117126,1.2294926657873801,0.4857558151224452,1.0429087127496592,0.49030384309946345,1.8054153306151108,0.458372532586425
2024-12-21,Gymnasium 39,43.348459,76.84291,-0.18212078241429766,-1.3123889634435126,0.9435190031213199,-1.0621786410791962,1.2471933292588937,0.990637375812967,1.8054153306151108,0.5663898497598543
2024-12-22,Gymnasium 39,43.348459,76.84291,-0.5478032016551557,-1.5596984719641838,1.7349984077104572,-0.24428757152698627,1.44298583818987,1.4909709085264704,1.8054153306151108,0.6744071669332835
2024-12-23,Gymnasium 39,43.348459,76.84291,-0.32123909408201545,-1.7107296699246486,1.4489532192795778,-0.5908815820400032,1.2864652752302945,-1.5110302877545507,1.8054153306151108,0.7824244841067127
2024-12-24,Gymnasium 39,43.348459,76.84291,-0.1539913655496162,-1.5077142840461186,0.7661747706573677,-0.45885778493837,1.3082911261482701,-1.010696755041047,1.8054153306151108,0.8904418012801419
2024-12-25,Gymnasium 39,43.348459,76.84291,0.25082763367688565,-1.5313993865838904,1.851476165015913,0.017740396249106047,1.30455962277061,-0.5103632223275436,1.8054153306151108,0.9984591184535712
2024-12-26,Gymnasium 39,43.348459,76.84291,-0.03994492543520139,-1.442503335925653,1.3406437043164794,0.8227572501077383,1.1436674071025708,-0.010029689614040101,1.8054153306151108,1.1064764356270003
2024-12-27,Gymnasium 39,43.348459,76.84291,0.2431837703984396,-0.9168168860407786,-0.013727863778662952,0.16440554605690832,1.1405395888533267,0.49030384309946345,1.8054153306151108,1.2144937528004296
2024-12-28,Gymnasium 39,43.348459,76.84291,0.3046404311571456,-1.0333969041579363,0.3619833238980673,-0.24050095253196616,1.1263793235928248,0.990637375812967,1.8054153306151108,1.3225110699738587
2024-12-29,Gymnasium 39,43.348459,76.84291,-0.03413558934358247,-1.12321573730392,1.5299906103513257,-0.2899784777685941,0.5516022045138191,1.4909709085264704,1.8054153306151108,1.430528387147288
2024-12-30,Gymnasium 39,43.348459,76.84291,0.5675893279356892,-0.32438148202063305,0.4385458030290332,0.33050804744525125,0.727732405201815,-1.5110302877545507,1.8054153306151108,1.5385457043207171
2024-12-31,Gymnasium 39,43.348459,76.84291,0.3352158842709298,-0.05061852349895161,1.5782145814609085,-0.17259603337312987,1.047191230741176,-1.010696755041047,1.8054153306151108,1.6465630214941465
2025-01-01,Gymnasium 39,43.348459,76.84291,-0.44445817013056543,-0.41850677425034716,2.069054940659139,-0.7877811475492019,1.0203373714717603,-0.5103632223275436,-0.9293419941056605,-1.59395649370873
2025-01-02,Gymnasium 39,43.348459,76.84291,0.043220307034291416,-0.3662149569678045,1.9300628232912633,-0.5941632222058572,1.2472459997734535,-0.010029689614040101,-0.9293419941056605,-1.4859391765353007
2025-01-03,Gymnasium 39,43.348459,76.84291,0.1642991013648766,-0.7464071150300634,2.005488692995829,0.7687360709665766,1.223600990314143,0.49030384309946345,-0.9293419941056605,-1.3779218593618716
2025-01-04,Gymnasium 39,43.348459,76.84291,-0.3236851303311182,-0.5489286704912786,1.3199402465724375,1.938774329260434,0.84287825318564,0.990637375812967,-0.9293419941056605,-1.2699045421884423
2025-01-05,Gymnasium 39,43.348459,76.84291,-0.47167032340183335,-0.6086028884833721,1.632618378650874,0.8058439260045571,1.0656380655712376,1.4909709085264704,-0.9293419941056605,-1.1618872250150132
2025-01-27,Gymnasium 39,43.348459,76.84291,1.5921727617785955,-0.8568351090879985,-0.30918324192285196,-0.13372089687781302,1.0076437774628466,-1.5110302877545507,-0.9293419941056605,1.2144937528004296
2025-01-28,Gymnasium 39,43.348459,76.84291,0.10437121326185968,-0.988179858220467,0.2539215481749337,-0.6832729188473156,0.8268623651814155,-1.010696755041047,-0.9293419941056605,1.3225110699738587
2025-01-29,Gymnasium 39,43.348459,76.84291,-0.3750518915622755,-0.6369019738636654,1.119229847210491,-0.933183994728834,0.9772731484520532,-0.5103632223275436,-0.9293419941056605,1.430528387147288
2025-01-30,Gymnasium 39,43.348459,76.84291,-0.7740615546971584,-0.3163839281878136,1.8647929619568042,0.057877546483102685,1.2115110814336456,-0.010029689614040101,-0.9293419941056605,1.5385457043207171
2025-01-31,Gymnasium 39,43.348459,76.84291,-0.8972806307457085,-0.6181383779272063,1.573279303688381,0.6344403024679313,1.4353810262030422,0.49030384309946345,-0.9293419941056605,1.6465630214941465
2025-02-01,Gymnasium 39,43.348459,76.84291,-0.5383248111898828,-1.2231853890264839,1.9446573304855166,0.10154897074228153,1.5784057827011777,0.990637375812967,-0.6807276918583177,-1.59395649370873
2025-02-02,Gymnasium 39,43.348459,76.84291,-0.3567066196940051,-1.5181726263814899,1.8083649856224544,-0.3508154266560467,1.5106715009772653,1.4909709085264704,-0.6807276918583177,-1.4859391765353007
2025-02-10,Gymnasium 39,43.348459,76.84291,-0.6410583336521976,-1.6993484746977403,0.9383340354061506,0.6745777415914183,1.164164340422422,-1.5110302877545507,-0.6807276918583177,-0.6218006391478671
2025-02-11,Gymnasium 39,43.348459,76.84291,-0.12158138524900507,-1.5544693007964983,1.6966105297319711,0.19242580439633103,1.1480106987647334,-1.010696755041047,-0.6807276918583177,-0.5137833219744379
2025-02-12,Gymnasium 39,43.348459,76.84291,-0.1374806208681728,-0.5723061788664684,1.3875184394078812,0.40346188822727774,1.2170455370404685,-0.5103632223275436,-0.6807276918583177,-0.40576600480100866
2025-02-13,Gymnasium 39,43.348459,76.84291,-0.11760657634421316,-0.3985128368654553,1.7318376191396725,0.6566544598299049,1.2958163173536819,-0.010029689614040101,-0.6807276918583177,-0.29774868762757944
2025-02-14,Gymnasium 39,43.348459,76.84291,-0.3010592950269179,-0.7614795106117471,1.933613752397426,0.04601314400311184,0.9267661765672409,0.49030384309946345,-0.6807276918583177,-0.18973137045415023
2025-02-15,Gymnasium 39,43.348459,76.84291,-0.40715611733174883,-0.6381323505139935,1.1241300123348343,1.4965076306637413,0.6037662718182437,0.990637375812967,-0.6807276918583177,-0.08171405328072102
2025-02-16,Gymnasium 39,43.348459,76.84291,-0.07755273276515588,-0.6172155954394601,1.6772211953579264,-0.6345528618544369,0.9360604965980254,1.4909709085264704,-0.6807276918583177,0.026303263892708196
2025-02-17,Gymnasium 39,43.348459,76.84291,0.042303043440877854,-0.6292119789915325,1.8156801206607858,-1.0455178063905983,1.3196558025590595,-1.5110302877545507,-0.6807276918583177,0.1343205810661374
2025-02-18,Gymnasium 39,43.348459,76.84291,-0.12311015790469429,-0.7500983153848388,2.119516367739113,-0.28669669315799495,0.9746153132558044,-1.010696755041047,-0.6807276918583177,0.2423378982395666
2025-02-19,Gymnasium 39,43.348459,76.84291,-0.057678688241196235,-0.7910089726423687,1.421928834628192,-0.14381830678995794,0.8036265651044544,-0.5103632223275436,-0.6807276918583177,0.35035521541299586
2025-02-20,Gymnasium 39,43.348459,76.84291,0.7525708192740833,-0.4972520415339,0.4042771588699096,-1.3110799759695002,0.9851818287921104,-0.010029689614040101,-0.6807276918583177,0.458372532586425
2025-02-21,Gymnasium 39,43.348459,76.84291,0.5422117018512485,-0.5676921960239468,0.8687674263087319,-1.617284274611565,0.9825280451739047,0.49030384309946345,-0.6807276918583177,0.5663898497598543
2025-02-22,Gymnasium 39,43.348459,76.84291,0.4991003129608127,-0.5495438588164426,0.35466753862551026,-1.2853315445823443,0.8579784845521325,0.990637375812967,-0.6807276918583177,0.6744071669332835
2025-02-23,Gymnasium 39,43.348459,76.84291,0.40615093549490894,-0.35883259146014906,0.38691200364024936,0.11442333088060463,0.693682943327921,1.4909709085264704,-0.6807276918583177,0.7824244841067127
2025-03-03,Gymnasium 39,43.348459,76.84291,-1.0042947166439529,-0.38313288232308496,0.652715400627284,1.2506355187470808,0.8457265125499127,-1.5110302877545507,-0.43211338961097484,-1.3779218593618716
2025-03-04,Gymnasium 39,43.348459,76.84291,-0.503163040109031,-0.7122636701569204,-0.33645601604842823,0.09018954709145681,1.450238162886951,-1.010696755041047,-0.43211338961097484,-1.2699045421884423
2025-03-05,Gymnasium 39,43.348459,76.84291,-0.24418895223527948,-0.61567762462655,-0.2119881805784378,-0.2690263341453002,1.1432784556104367,-0.5103632223275436,-0.43211338961097484,-1.1618872250150132
2025-03-06,Gymnasium 39,43.348459,76.84291,-0.0231284262226202,0.14224596459873334,-0.7042837639736269,2.490598611516439,0.4734918314216248,-0.010029689614040101,-0.43211338961097484,-1.0538699078415839
2025-03-07,Gymnasium 39,43.348459,76.84291,-0.7893492812540505,0.2692842986498407,0.4613800783304628,1.7363211521883695,0.4182607195386022,0.49030384309946345,-0.43211338961097484,-0.9458525906681547
2025-03-08,Gymnasium 39,43.348459,76.84291,-0.6337202249048892,-0.005709087124893576,0.8339655900845923,0.3272262628346521,0.40387761748573175,0.990637375812967,-0.43211338961097484,-0.8378352734947255
2025-03-09,Gymnasium 39,43.348459,76.84291,-0.705572539722282,0.3720222978356429,0.8997328806016579,0.049799907442877114,0.6085795465334015,1.4909709085264704,-0.43211338961097484,-0.7298179563212963
2025-03-10,Gymnasium 39,43.348459,76.84291,-0.49001559527010385,-0.11767507179680504,1.413477740397686,0.01849757560336488,1.0478840505865394,-1.5110302877545507,-0.43211338961097484,-0.6218006391478671
2025-03-11,Gymnasium 39,43.348459,76.84291,-0.45240778794014935,0.4123177667680087,0.12245849290562154,0.12956922908170426,1.0671087884008692,-1.010696755041047,-0.43211338961097484,-0.5137833219744379
2025-03-12,Gymnasium 39,43.348459,76.84291,-0.894528839965468,0.14070796738440153,0.034105966795542335,-0.3687382750833245,1.2840343284044573,-0.5103632223275436,-0.43211338961097484,-0.40576600480100866
2025-03-13,Gymnasium 39,43.348459,76.84291,-0.3649619920347268,0.1610094989318754,-0.8987444370759361,0.001584540389674167,1.2074189876101529,-0.010029689614040101,-0.43211338961097484,-0.29774868762757944
2025-03-14,Gymnasium 39,43.348459,76.84291,-0.1500165566448243,0.5270521495058832,-1.6471129873887278,-0.6557574948923138,1.00993697063522,0.49030384309946345,-0.43211338961097484,-0.18973137045415023
2025-03-15,Gymnasium 39,43.348459,76.84291,-0.10201309525618321,0.8491080955908544,-1.0531838438249779,-0.5848231360927163,0.9380255119489105,0.990637375812967,-0.43211338961097484,-0.08171405328072102
2025-03-16,Gymnasium 39,43.348459,76.84291,-0.22003434427538993,0.8257306576194556,-0.6294970745128551,-0.5080828207604149,1.0500435416834917,1.4909709085264704,-0.43211338961097484,0.026303263892708196
2025-03-24,Gymnasium 39,43.348459,76.84291,-0.9061475121487058,1.1976177028882085,1.2736331659600102,2.595359185188163,0.601306963946105,-1.5110302877545507,-0.43211338961097484,0.8904418012801419
2025-03-25,Gymnasium 39,43.348459,76.84291,-0.9718847363433417,0.13394079020191024,-0.26447443703702184,0.5975846479550434,1.1371079022508532,-1.010696755041047,-0.43211338961097484,0.9984591184535712
2025-03-26,Gymnasium 39,43.348459,76.84291,-0.8327664246756239,0.08011099770622043,-1.25361074106455,0.5433109793992987,1.0380063033175542,-0.5103632223275436,-0.43211338961097484,1.1064764356270003
2025-03-27,Gymnasium 39,43.348459,76.84291,-0.9740250180613066,0.38924785255540095,-1.1482835253773012,0.31864335607577005,0.5814177673327132,-0.010029689614040101,-0.43211338961097484,1.2144937528004296
2025-03-28,Gymnasium 39,43.348459,76.84291,-0.7902665448474641,0.46245638971058156,0.9447616007264977,-0.7203809183300414,0.9570517224391302,0.49030384309946345,-0.43211338961097484,1.3225110699738587
